"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
1,630083,-31.9115851170401,3.94655618495754,-32.00854,-32.1729311700825,3.816153096,-43.21232,-17.01117,26.20115,0.554207760913861,0.495109735403287,0.00497186592781248
2,630083,146.319818027276,9.87792070400141,150.23787,148.704802860532,2.83575419400004,113.44701,153.45218,40.00517,-1.93667661324262,2.25170208457912,0.0124441906016819
3,630083,331.662428918095,22.2954581666467,332.5,331.295455366053,28.9107,208,367,159,0.0147570893295061,-0.743360608924978,0.0280877868218952
4,630083,0.458774748723581,0.0883249042527102,0.43,0.448524640573575,0.059304,0.32,0.8,0.48,1.11219519128725,1.13259547974881,0.000111271590077736
5,630083,0.472473340813829,0.116504708035455,0.42,0.456158923317734,0.088956,0.36,0.78,0.42,0.924774024607839,-0.313870981104379,0.00014677246722574
6,630083,16.2244397960269,51.4102491581082,4.5,7.41267986200247,4.74432,0,10717.2,10717.2,31.3453891079782,3814.07994136471,0.0647665595396302
7,630083,-33.6704983153013,2.28980811735061,-33.86,-33.6555182346791,1.571556,-37.83,-27.48,10.35,0.392405907427812,1.196972991844,0.0028846970437864
8,630083,137.843048471392,14.8042231139086,144.98,138.809877198864,9.45898799999999,115.79,153.04,37.25,-0.631696327414092,-1.29122801047231,0.0186503394448869
9,630083,28.8876448023514,6.4971079695063,28.3,28.6806422558906,6.07866,14.2,45.3,31.1,0.306417871332037,-0.518777228817096,0.00818504747658998
10,630083,16.8235394384549,3.88270643298715,17.3,16.8980087964497,4.00302,4.2,33.6,29.4,0.0774006755177881,0.737611661582349,0.00489142810013607
11,630083,26.4484337777721,4.93630230501247,27.5,27.0835198495438,5.1891,2.2,32.2,30,-1.2522798263972,1.90561342987439,0.00621874669698583
12,630083,0.402055284779942,3.43598547743428,0,0.00644081044781744,0,0,130.4,130.4,30.415470555672,1115.53447840655,0.00432864966900193
